lead_id,company,market,currency,campaign_name,channel,campaign_budget,product,pipeline_stage,deal_value_usd,created_date,email_opened,email_clicked,company_size,lead_score,deal_value_local
NP-1028,NovaPay,UAE,AED,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-04-29,,,11-50,78,0.0
NP-1029,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Basic,Qualified,0.0,2024-04-14,,,201-500,80,0.0
NP-1030,NovaPay,UK,GBP,Q1 Launch Blitz,Paid Social,18000,NovaPay Enterprise,Proposal,0.0,2024-01-21,,,11-50,31,0.0
NP-1031,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-04-12,,,11-50,58,0.0
NP-1032,NovaPay,USA,USD,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Demo,0.0,2024-03-08,,,51-200,64,0.0
NP-1033,NovaPay,USA,USD,Influencer Summer,Influencer,22000,NovaPay Enterprise,Qualified,0.0,2024-08-02,,,11-50,34,0.0
NP-1034,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Demo,0.0,2024-03-08,,,51-200,17,0.0
NP-1035,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Proposal,0.0,2024-01-30,,,1-10,75,0.0
NP-1036,NovaPay,Singapore,SGD,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Lead,0.0,2024-02-09,,,201-500,25,0.0
NP-1037,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Qualified,0.0,2024-07-02,,,500+,82,0.0
NP-1038,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Demo,0.0,2024-06-19,,,11-50,43,0.0
NP-1039,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Pro,Qualified,0.0,2024-04-14,,,1-10,68,0.0
NP-1040,NovaPay,USA,USD,Fintech Webinar Series,Webinar,7500,NovaPay Enterprise,Lead,0.0,2024-06-06,,,500+,43,0.0
NP-1041,NovaPay,USA,USD,Spring Email Push,Email,6000,NovaPay Enterprise,Negotiation,0.0,2024-04-02,True,False,500+,48,0.0
NP-1042,NovaPay,USA,USD,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Qualified,0.0,2024-07-19,,,51-200,94,0.0
NP-1043,NovaPay,USA,USD,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Lead,0.0,2024-01-23,,,500+,29,0.0
NP-1044,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-04-03,,,500+,72,0.0
NP-1045,NovaPay,USA,USD,SEO Content Drive,Organic Search,9000,NovaPay Pro,Lead,0.0,2024-04-24,,,51-200,15,0.0
NP-1046,NovaPay,Germany,EUR,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Closed Lost,0.0,2024-01-30,,,201-500,80,0.0
NP-1047,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-06-20,,,500+,14,0.0
NP-1048,NovaPay,India,INR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-04-09,,,51-200,15,0.0
NP-1049,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-05-11,,,201-500,89,0.0
NP-1050,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Enterprise,Proposal,0.0,2024-06-23,,,201-500,13,0.0
NP-1051,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Basic,Negotiation,0.0,2024-03-17,True,False,1-10,58,0.0
NP-1052,NovaPay,Singapore,SGD,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Proposal,0.0,2024-03-08,,,51-200,49,0.0
NP-1053,NovaPay,UK,GBP,Spring Email Push,Email,6000,NovaPay Pro,Lead,0.0,2024-03-21,False,False,51-200,54,0.0
NP-1054,NovaPay,India,INR,Influencer Summer,Influencer,22000,NovaPay Pro,Proposal,0.0,2024-07-13,,,1-10,24,0.0
NP-1055,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Enterprise,Lead,0.0,2024-03-14,,,500+,65,0.0
NP-1056,NovaPay,UAE,AED,SEO Content Drive,Organic Search,9000,NovaPay Basic,Qualified,0.0,2024-05-05,,,1-10,59,0.0
NP-1057,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Qualified,0.0,2024-07-15,,,500+,97,0.0
NP-1058,NovaPay,USA,USD,Influencer Summer,Influencer,22000,NovaPay Pro,Lead,0.0,2024-07-26,,,1-10,95,0.0
NP-1059,NovaPay,India,INR,SEO Content Drive,Organic Search,9000,NovaPay Pro,Lead,0.0,2024-04-08,,,500+,49,0.0
NP-1060,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-06-17,,,11-50,63,0.0
NP-1061,NovaPay,USA,USD,Influencer Summer,Influencer,22000,NovaPay Pro,Negotiation,0.0,2024-08-12,,,51-200,61,0.0
NP-1062,NovaPay,Singapore,SGD,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Lead,0.0,2024-07-23,,,500+,93,0.0
NP-1063,NovaPay,India,INR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-04-30,,,11-50,94,0.0
NP-1064,NovaPay,Germany,EUR,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Qualified,0.0,2024-01-21,,,11-50,96,0.0
NP-1065,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-04-01,,,201-500,88,0.0
NP-1066,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Enterprise,Qualified,0.0,2024-02-28,,,201-500,61,0.0
NP-1067,NovaPay,UK,GBP,Spring Email Push,Email,6000,NovaPay Pro,Negotiation,0.0,2024-02-28,False,False,11-50,32,0.0
NP-1068,NovaPay,India,INR,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-06-16,,,201-500,27,0.0
NP-1069,NovaPay,UAE,AED,Partner Referral Q2,Referral,12000,NovaPay Enterprise,Qualified,0.0,2024-05-31,,,500+,74,0.0
NP-1070,NovaPay,Singapore,SGD,Partner Referral Q2,Referral,12000,NovaPay Pro,Negotiation,0.0,2024-06-04,,,201-500,43,0.0
NP-1071,NovaPay,Singapore,SGD,Spring Email Push,Email,6000,NovaPay Basic,Demo,0.0,2024-04-17,False,False,51-200,66,0.0
NP-1072,NovaPay,UAE,AED,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Lead,0.0,2024-03-19,,,1-10,27,0.0
NP-1073,NovaPay,UK,GBP,Spring Email Push,Email,6000,NovaPay Pro,Demo,0.0,2024-02-23,True,False,201-500,63,0.0
NP-1074,NovaPay,UK,GBP,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Negotiation,0.0,2024-03-24,,,1-10,83,0.0
NP-1075,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Enterprise,Lead,0.0,2024-05-24,,,201-500,78,0.0
NP-1076,NovaPay,UAE,AED,Influencer Summer,Influencer,22000,NovaPay Pro,Negotiation,0.0,2024-08-02,,,11-50,44,0.0
NP-1077,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Basic,Demo,0.0,2024-05-26,,,11-50,69,0.0
NP-1078,NovaPay,USA,USD,Spring Email Push,Email,6000,NovaPay Pro,Negotiation,0.0,2024-04-30,False,False,1-10,20,0.0
NP-1079,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Enterprise,Lead,0.0,2024-07-04,,,201-500,51,0.0
NP-1080,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Basic,Negotiation,0.0,2024-03-21,False,False,201-500,42,0.0
NP-1081,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Lead,0.0,2024-02-23,,,11-50,93,0.0
NP-1082,NovaPay,UAE,AED,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Demo,0.0,2024-02-10,,,11-50,12,0.0
NP-1083,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Demo,0.0,2024-07-21,,,11-50,69,0.0
NP-1084,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Basic,Qualified,0.0,2024-06-15,,,11-50,49,0.0
NP-1085,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Enterprise,Qualified,0.0,2024-02-27,,,201-500,35,0.0
NP-1086,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Lead,0.0,2024-02-17,,,500+,25,0.0
NP-1087,NovaPay,UAE,AED,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Qualified,0.0,2024-06-26,,,1-10,74,0.0
NP-1088,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Pro,Proposal,0.0,2024-06-14,,,201-500,56,0.0
NP-1089,NovaPay,Singapore,SGD,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-06-23,,,500+,93,0.0
NP-1090,NovaPay,India,INR,SEO Content Drive,Organic Search,9000,NovaPay Enterprise,Demo,0.0,2024-04-29,,,201-500,85,0.0
NP-1091,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Negotiation,0.0,2024-04-05,,,201-500,41,0.0
NP-1092,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-06-07,,,51-200,33,0.0
NP-1093,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-05-10,,,500+,11,0.0
NP-1094,NovaPay,USA,USD,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Demo,0.0,2024-07-11,,,500+,40,0.0
NP-1095,NovaPay,India,INR,Influencer Summer,Influencer,22000,NovaPay Pro,Qualified,0.0,2024-06-03,,,1-10,47,0.0
NP-1096,NovaPay,Germany,EUR,Spring Email Push,Email,6000,NovaPay Basic,Demo,0.0,2024-04-02,False,False,500+,54,0.0
NP-1097,NovaPay,USA,USD,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-06-02,,,51-200,49,0.0
NP-1098,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Pro,Lead,0.0,2024-05-08,,,11-50,34,0.0
NP-1099,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Basic,Qualified,0.0,2024-04-22,False,False,1-10,34,0.0
NP-1100,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-05-08,,,11-50,45,0.0
NP-1101,NovaPay,USA,USD,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Demo,0.0,2024-01-26,,,201-500,23,0.0
NP-1102,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Qualified,0.0,2024-02-02,,,1-10,42,0.0
NP-1103,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Basic,Qualified,0.0,2024-06-17,,,1-10,29,0.0
NP-1104,NovaPay,Singapore,SGD,Spring Email Push,Email,6000,NovaPay Enterprise,Lead,0.0,2024-03-17,True,False,500+,86,0.0
NP-1105,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Qualified,0.0,2024-07-05,,,51-200,85,0.0
NP-1106,NovaPay,Germany,EUR,Partner Referral Q2,Referral,12000,NovaPay Pro,Qualified,0.0,2024-04-17,,,11-50,90,0.0
NP-1107,NovaPay,Germany,EUR,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-04-25,True,True,201-500,98,0.0
NP-1108,NovaPay,India,INR,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Lead,0.0,2024-06-15,,,201-500,19,0.0
NP-1109,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Basic,Proposal,0.0,2024-08-15,,,11-50,64,0.0
NP-1110,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Negotiation,0.0,2024-01-28,,,1-10,17,0.0
NP-1111,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Pro,Proposal,0.0,2024-03-22,False,False,201-500,98,0.0
NP-1112,NovaPay,UAE,AED,SEO Content Drive,Organic Search,9000,NovaPay Enterprise,Qualified,0.0,2024-05-03,,,201-500,20,0.0
NP-1113,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Lead,0.0,2024-06-11,,,1-10,21,0.0
NP-1114,NovaPay,USA,USD,Spring Email Push,Email,6000,NovaPay Pro,Qualified,0.0,2024-02-17,False,False,51-200,83,0.0
NP-1115,NovaPay,UAE,AED,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Qualified,0.0,2024-03-06,,,51-200,33,0.0
NP-1116,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Closed Won,904.92,2024-07-09,,,51-200,51,785.32
NP-1117,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Basic,Qualified,0.0,2024-08-03,,,51-200,94,0.0
NP-1118,NovaPay,Singapore,SGD,Partner Referral Q2,Referral,12000,NovaPay Pro,Qualified,0.0,2024-05-15,,,51-200,51,0.0
NP-1119,NovaPay,USA,USD,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Qualified,0.0,2024-01-10,,,500+,69,0.0
NP-1120,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Pro,Qualified,0.0,2024-06-07,,,201-500,16,0.0
NP-1121,NovaPay,Germany,EUR,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-04-17,True,False,500+,40,0.0
NP-1122,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Pro,Qualified,0.0,2024-06-12,,,11-50,24,0.0
NP-1123,NovaPay,USA,USD,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-05-12,,,500+,44,0.0
NP-1124,NovaPay,Singapore,SGD,Partner Referral Q2,Referral,12000,NovaPay Enterprise,Lead,0.0,2024-06-14,,,11-50,59,0.0
NP-1125,NovaPay,USA,USD,Spring Email Push,Email,6000,NovaPay Pro,Negotiation,0.0,2024-02-23,True,False,201-500,53,0.0
NP-1126,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Demo,0.0,2024-07-24,,,500+,94,0.0
NP-1127,NovaPay,Singapore,SGD,Partner Referral Q2,Referral,12000,NovaPay Basic,Qualified,0.0,2024-05-17,,,500+,79,0.0
NP-1128,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-05-05,,,500+,59,0.0
NP-1129,NovaPay,Singapore,SGD,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-04-15,False,False,201-500,59,0.0
NP-1130,NovaPay,UAE,AED,Influencer Summer,Influencer,22000,NovaPay Pro,Lead,0.0,2024-06-05,,,11-50,74,0.0
NP-1131,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Proposal,0.0,2024-05-22,,,500+,68,0.0
NP-1132,NovaPay,UAE,AED,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Demo,0.0,2024-01-29,,,1-10,70,0.0
NP-1133,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Pro,Demo,0.0,2024-04-12,,,500+,58,0.0
NP-1134,NovaPay,India,INR,SEO Content Drive,Organic Search,9000,NovaPay Enterprise,Qualified,0.0,2024-05-09,,,1-10,89,0.0
NP-1135,NovaPay,UK,GBP,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Lead,0.0,2024-02-08,,,1-10,65,0.0
NP-1136,NovaPay,UAE,AED,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Lead,0.0,2024-01-31,,,51-200,13,0.0
NP-1137,NovaPay,Germany,EUR,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Lead,0.0,2024-03-05,,,11-50,41,0.0
NP-1138,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Lead,0.0,2024-06-01,,,1-10,88,0.0
NP-1139,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Basic,Negotiation,0.0,2024-04-23,,,11-50,69,0.0
NP-1140,NovaPay,Germany,EUR,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-07-30,,,51-200,96,0.0
NP-1141,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Lead,0.0,2024-07-24,,,51-200,91,0.0
NP-1142,NovaPay,UAE,AED,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-05-24,,,201-500,23,0.0
NP-1143,NovaPay,Germany,EUR,Spring Email Push,Email,6000,NovaPay Basic,Lead,0.0,2024-03-23,True,False,201-500,45,0.0
NP-1144,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Demo,0.0,2024-01-16,,,500+,73,0.0
NP-1145,NovaPay,UAE,AED,SEO Content Drive,Organic Search,9000,NovaPay Basic,Proposal,0.0,2024-03-29,,,11-50,89,0.0
NP-1146,NovaPay,UAE,AED,SEO Content Drive,Organic Search,9000,NovaPay Pro,Demo,0.0,2024-03-18,,,1-10,90,0.0
NP-1147,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Pro,Lead,0.0,2024-07-17,,,11-50,21,0.0
NP-1148,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-05-09,,,51-200,77,0.0
NP-1149,NovaPay,USA,USD,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Lead,0.0,2024-07-10,,,51-200,53,0.0
NP-1150,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Demo,0.0,2024-02-07,,,201-500,81,0.0
NP-1151,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-03-16,,,201-500,57,0.0
NP-1152,NovaPay,UAE,AED,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-07-18,,,1-10,96,0.0
NP-1153,NovaPay,India,INR,Spring Email Push,Email,6000,NovaPay Pro,Closed Won,1134.42,2024-03-27,True,True,201-500,99,108204.78
NP-1154,NovaPay,India,INR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-03-05,,,51-200,73,0.0
NP-1155,NovaPay,UK,GBP,Q1 Launch Blitz,Paid Social,18000,NovaPay Enterprise,Lead,0.0,2024-03-08,,,51-200,95,0.0
NP-1156,NovaPay,UAE,AED,Influencer Summer,Influencer,22000,NovaPay Pro,Qualified,0.0,2024-06-20,,,201-500,93,0.0
NP-1157,NovaPay,Singapore,SGD,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Closed Won,777.39,2024-02-14,,,51-200,37,1003.79
NP-1158,NovaPay,Germany,EUR,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-05-22,,,500+,92,0.0
NP-1159,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Closed Won,266.48,2024-04-28,,,11-50,92,199.81
NP-1160,NovaPay,India,INR,Influencer Summer,Influencer,22000,NovaPay Basic,Demo,0.0,2024-07-02,,,11-50,82,0.0
NP-1161,NovaPay,UK,GBP,Spring Email Push,Email,6000,NovaPay Pro,Lead,0.0,2024-03-13,False,False,11-50,52,0.0
NP-1162,NovaPay,UAE,AED,Spring Email Push,Email,6000,NovaPay Pro,Lead,0.0,2024-03-04,False,False,500+,42,0.0
NP-1163,NovaPay,UK,GBP,Spring Email Push,Email,6000,NovaPay Enterprise,Lead,0.0,2024-03-31,False,False,11-50,85,0.0
NP-1164,NovaPay,UK,GBP,SEO Content Drive,Organic Search,9000,NovaPay Basic,Lead,0.0,2024-04-23,,,500+,24,0.0
NP-1165,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-08-15,,,1-10,67,0.0
NP-1166,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Demo,0.0,2024-07-15,,,51-200,68,0.0
NP-1167,NovaPay,USA,USD,Influencer Summer,Influencer,22000,NovaPay Basic,Qualified,0.0,2024-07-22,,,201-500,97,0.0
NP-1168,NovaPay,India,INR,Q1 Launch Blitz,Paid Social,18000,NovaPay Enterprise,Lead,0.0,2024-01-20,,,51-200,87,0.0
NP-1169,NovaPay,UK,GBP,Spring Email Push,Email,6000,NovaPay Basic,Qualified,0.0,2024-04-25,False,False,201-500,86,0.0
NP-1170,NovaPay,Germany,EUR,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Qualified,0.0,2024-05-24,,,500+,37,0.0
NP-1171,NovaPay,India,INR,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-06-02,,,201-500,63,0.0
NP-1172,NovaPay,UK,GBP,Influencer Summer,Influencer,22000,NovaPay Basic,Demo,0.0,2024-07-18,,,11-50,97,0.0
NP-1173,NovaPay,UK,GBP,Partner Referral Q2,Referral,12000,NovaPay Pro,Lead,0.0,2024-04-17,,,51-200,26,0.0
NP-1174,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Enterprise,Qualified,0.0,2024-05-25,,,201-500,55,0.0
NP-1175,NovaPay,USA,USD,Influencer Summer,Influencer,22000,NovaPay Basic,Negotiation,0.0,2024-06-07,,,51-200,86,0.0
NP-1176,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Pro,Lead,0.0,2024-05-01,,,11-50,23,0.0
NP-1177,NovaPay,Singapore,SGD,SEO Content Drive,Organic Search,9000,NovaPay Basic,Demo,0.0,2024-05-13,,,11-50,64,0.0
NP-1178,NovaPay,USA,USD,Fintech Webinar Series,Webinar,7500,NovaPay Pro,Qualified,0.0,2024-07-20,,,1-10,87,0.0
NP-1179,NovaPay,Singapore,SGD,Influencer Summer,Influencer,22000,NovaPay Basic,Lead,0.0,2024-07-10,,,51-200,54,0.0
NP-1180,NovaPay,UK,GBP,Q1 Launch Blitz,Paid Social,18000,NovaPay Basic,Demo,0.0,2024-01-18,,,11-50,91,0.0
NP-1181,NovaPay,UK,GBP,Q1 Launch Blitz,Paid Social,18000,NovaPay Pro,Lead,0.0,2024-03-08,,,51-200,30,0.0
NP-1182,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Closed Won,373.0,2024-03-11,,,11-50,30,323.7
NP-1183,NovaPay,UK,GBP,Fintech Webinar Series,Webinar,7500,NovaPay Basic,Qualified,0.0,2024-07-03,,,201-500,87,0.0
NP-1184,NovaPay,Germany,EUR,Partner Referral Q2,Referral,12000,NovaPay Basic,Qualified,0.0,2024-05-19,,,201-500,24,0.0
NP-1185,NovaPay,UAE,AED,SEO Content Drive,Organic Search,9000,NovaPay Pro,Qualified,0.0,2024-04-09,,,1-10,38,0.0
NP-1186,NovaPay,USA,USD,Partner Referral Q2,Referral,12000,NovaPay Basic,Lead,0.0,2024-05-02,,,11-50,42,0.0
NP-1187,NovaPay,Germany,EUR,SEO Content Drive,Organic Search,9000,NovaPay Basic,Demo,0.0,2024-03-23,,,11-50,58,0.0
